Couples Data:
TimeStamp,C_id
Time :2017-02-27 00:48:21.963,60065005
Time :2017-02-27 00:48:21.963,60645003
Time :2017-02-27 00:48:21.963,60035004
Time :2017-02-27 00:48:21.963,60395001
Time :2017-02-27 00:48:21.963,60465007
Time :2017-02-27 00:48:21.963,60635008
Time :2017-02-27 00:48:21.963,60045009
Time :2017-02-27 00:48:21.963,60025055
Time :2017-02-27 00:48:21.963,60085053
Time :2017-02-27 00:48:21.963,60125054
Time :2017-02-27 00:48:21.963,60175056
Time :2017-02-27 00:48:21.963,60685057
Time :2017-02-27 00:48:21.963,60415020
Time :2017-02-27 00:48:21.963,60075023
Time :2017-02-27 00:48:21.963,60105024
Time :2017-02-27 00:48:21.963,60445026
Time :2017-02-27 00:48:21.963,60145027
Time :2017-02-27 00:48:21.963,60185028
Time :2017-02-27 00:48:21.963,60605029
Time :2017-02-27 00:48:21.963,60455030
Time :2017-02-27 00:48:21.963,60335035
Time :2017-02-27 00:48:21.963,60305032
Time :2017-02-27 00:48:21.963,60695033
Time :2017-02-27 00:48:21.963,60355031
Time :2017-02-27 00:48:21.963,60195039
Time :2017-02-27 00:48:21.963,60615040
Time :2017-02-27 00:48:21.963,60655005
Time :2017-02-27 00:48:21.963,60665004
Time :2017-02-27 00:48:21.963,60405008
Time :2017-02-27 00:48:21.963,60055009
Time :2017-02-27 00:48:21.963,60665056
Time :2017-02-27 00:48:21.963,60675023
Time :2017-02-27 00:48:21.963,60315024
Time :2017-02-27 00:48:21.963,60365027
Time :2017-02-27 00:48:21.963,60385039
Exchanged Gifts Data:
Time :2017-02-27 00:48:21.963,Couples: 60065005,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60065005,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60645003,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60645003,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60645003,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60035004,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60035004,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60395001,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60395001,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60395001,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60465007,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60465007,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60635008,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60635008,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60635008,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60045009,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60045009,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60025055,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60025055,Exchanged Gift :338
Time :2017-02-27 00:48:21.963,Couples: 60085053,Exchanged Gift :307
Time :2017-02-27 00:48:21.963,Couples: 60085053,Exchanged Gift :338
